run_id,pair_id,dataset,dataset_condition,arm,seed,primary_recovery_type,directory_exists,training_status,planned_steps,actual_steps,validation_covers_expected_range,selection_record,test_record,reusable,qualifies_for_final_comparison,protocol_conflicts,missing_evidence,dry_run_commands
run-278e56f4b0ffbd07,pair-c9436ccb8170ee70,levir_cc,LEVIR-CC,card,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed1111/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-e21f0de6c78890ba,pair-e249f10e62d768ff,levir_cc,LEVIR-CC,card,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed2222/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-63ce76369e0accdc,pair-27a6e229f9655009,levir_cc,LEVIR-CC,card,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_cc_seed3333/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-0a4399c53432704e,pair-c9436ccb8170ee70,levir_cc,LEVIR-CC,rsaca,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed1111/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-97655c4df5dc3655,pair-e249f10e62d768ff,levir_cc,LEVIR-CC,rsaca,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed2222/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-4378160190660270,pair-27a6e229f9655009,levir_cc,LEVIR-CC,rsaca,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_cc_seed3333/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-7f377b509393f5dd,pair-a461ba0e5acee57b,levir_mci,LEVIR-MCI,card,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed1111/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-74da381062fc3fb1,pair-4ce129d5067e2871,levir_mci,LEVIR-MCI,card,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed2222/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-3fdee4bc74adcbc1,pair-3236ba803b379c49,levir_mci,LEVIR-MCI,card,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/card/card_levir_mci_seed3333/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
run-11468a8e6fe9e3fa,pair-a461ba0e5acee57b,levir_mci,LEVIR-MCI,rsaca,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v2/rsaca/rsaca_levir_mci_seed1111/test_paired_recovery_seeded_result.json,True,False,training git_info records dirty=True; exact training source is not reproducible,,
