kind,path,detail,impact
missing_selection_record,experiments/card_baseline_locked_tests/levir_cc,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/card_baseline_locked_tests/levir_mci,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/card_baseline_locked_tests/second_cc,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/card_levir_cc_baseline,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/card_levir_cc_baseline,git_info.txt not found,medium
missing_selection_record,experiments/levir_cc_7_5_val_pareto_locked,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_cc_7_5_val_pareto_locked,git_info.txt not found,medium
missing_selection_record,experiments/levir_cc_7_6_val_pareto_locked,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_caption_ft_cw103_norm_30_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_cc_caption_ft_cw103_norm_30_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/levir_cc_caption_ft_cw105_norm_30_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_cc_caption_ft_cw105_norm_30_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/levir_cc_decft_cw100_s10_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw100_s10_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw100_s20_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw100_s20_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw101_s10_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw101_s10_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw101_s20_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw101_s20_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw102_s10_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw102_s10_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw102_s20_lr1e6,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_decft_cw102_s20_lr5e7,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_mci_init_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_mci_init_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_cc_mci_init_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_7_5_val_pareto_locked,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_7_5_val_pareto_locked,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_caption_finetune_from_weak_best,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_caption_finetune_from_weak_best,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_card_baseline,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_card_baseline,git_info.txt not found,medium
missing_training_commit_evidence,experiments/levir_mci_card_mask_semantic,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_masksemantic_caption_ft_cw103_norm_30_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_masksemantic_caption_ft_cw103_norm_30_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_masksemantic_caption_ft_cw105_norm_30_lr2e6,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_masksemantic_caption_ft_cw105_norm_30_lr2e6,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed1111,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed1111_7_6_val_locked,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed2222,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed2222_7_6_val_locked,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed3333,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_masksemantic_repro_seed3333_7_6_val_locked,best_snapshot_for_paper.json not found,high
missing_selection_record,experiments/levir_mci_short_caption_ft_1000_lr01,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_short_caption_ft_1000_lr01,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_short_caption_ft_500_lr01,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_short_caption_ft_500_lr01,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_short_ft_keep_mask0005,best_snapshot_for_paper.json not found,high
missing_training_commit_evidence,experiments/levir_mci_short_ft_keep_mask0005,git_info.txt not found,medium
missing_selection_record,experiments/levir_mci_ultrashort_caption_ft_100_lr002,best_snapshot_for_paper.json not found,high
