run_id,pair_id,dataset,dataset_condition,arm,seed,primary_recovery_type,directory_exists,training_status,planned_steps,actual_steps,validation_covers_expected_range,selection_record,test_record,reusable,qualifies_for_final_comparison,protocol_conflicts,missing_evidence,dry_run_commands
run-87073ce1699a03d9,pair-c9436ccb8170ee70,levir_cc,LEVIR-CC,card,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed1111/test_paired_locked_result.json,True,True,,,
run-35c7d0ea8d295041,pair-e249f10e62d768ff,levir_cc,LEVIR-CC,card,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed2222/test_paired_locked_result.json,True,True,,,
run-11eddecec5972546,pair-27a6e229f9655009,levir_cc,LEVIR-CC,card,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_cc_seed3333/test_paired_locked_result.json,True,True,,,
run-2134280605c5ed18,pair-c9436ccb8170ee70,levir_cc,LEVIR-CC,rsaca,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed1111/test_paired_locked_result.json,True,True,,,
run-54c9d51c2561bff9,pair-e249f10e62d768ff,levir_cc,LEVIR-CC,rsaca,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed2222/test_paired_locked_result.json,True,True,,,
run-174c064371eb3b67,pair-27a6e229f9655009,levir_cc,LEVIR-CC,rsaca,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_cc_seed3333/test_paired_locked_result.json,True,True,,,
run-ec3a9fe2b2675467,pair-a461ba0e5acee57b,levir_mci,LEVIR-MCI,card,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed1111/test_paired_locked_result.json,True,True,,,
run-817f42498e31aa7d,pair-4ce129d5067e2871,levir_mci,LEVIR-MCI,card,2222,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed2222/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed2222/test_paired_locked_result.json,True,True,,,
run-dc22094ee320a35b,pair-3236ba803b379c49,levir_mci,LEVIR-MCI,card,3333,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed3333/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/card/card_levir_mci_seed3333/test_paired_locked_result.json,True,True,,,
run-8571eb67fd3e2610,pair-a461ba0e5acee57b,levir_mci,LEVIR-MCI,rsaca,1111,VERIFIED_COMPLETE,True,completed,10000,10000,True,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_mci_seed1111/best_snapshot_for_paper.json,/root/autodl-tmp/z1zy1/experiments/paired_card_rsaca_recovery_v1/rsaca/rsaca_levir_mci_seed1111/test_paired_locked_result.json,True,True,,,
