run_id,experiment,relative_path,dataset,dataset_condition,is_augmented,model_arm,run_status,seed,planned_steps,actual_steps,selection_file,selected_checkpoint,evaluation_count,evidence_level,missing_artifacts
run-89129d21f34558d2,levir_cc,experiments/card_baseline_locked_tests/levir_cc,levir_cc,levir_cc,False,CARD,unknown,1111,10000,,,,1,test_record_without_selection,best_snapshot_for_paper.json
run-ec4de43f6ab469f5,levir_mci,experiments/card_baseline_locked_tests/levir_mci,levir_mci,levir_mci,False,CARD,unknown,1111,10000,,,,4,test_record_without_selection,best_snapshot_for_paper.json
run-a08d0c9038153372,second_cc,experiments/card_baseline_locked_tests/second_cc,second_cc,SECOND-CC-AUG,True,CARD,unknown,1111,10000,,,,4,test_record_without_selection,best_snapshot_for_paper.json
run-20a6eda8821a6255,card_levir_cc_baseline,experiments/card_levir_cc_baseline,levir_cc,levir_cc,False,CARD,partial,1111,10000,,,,0,config_only,best_snapshot_for_paper.json;git_info.txt
run-09216918a2124760,levir_cc_7_5_val_pareto_locked,experiments/levir_cc_7_5_val_pareto_locked,levir_cc,levir_cc,False,CARD,unknown,1111,0,,,,1,test_record_without_selection,best_snapshot_for_paper.json;git_info.txt
run-866a6f7c7b509f5f,levir_cc_7_6_val_pareto_locked,experiments/levir_cc_7_6_val_pareto_locked,levir_cc,levir_cc,False,CARD,unknown,1111,0,,,,1,test_record_without_selection,best_snapshot_for_paper.json
run-e59025cac96ee1e5,levir_cc_caption_ft_cw103_norm_30_lr2e6,experiments/levir_cc_caption_ft_cw103_norm_30_lr2e6,levir_cc,levir_cc,False,CARD,partial,1111,30,,,,0,config_only,best_snapshot_for_paper.json;git_info.txt
run-8a22ae19d29d2f0a,levir_cc_caption_ft_cw105_norm_30_lr2e6,experiments/levir_cc_caption_ft_cw105_norm_30_lr2e6,levir_cc,levir_cc,False,CARD,partial,1111,30,,,,0,config_only,best_snapshot_for_paper.json;git_info.txt
run-dce304464a80a8af,levir_cc_decft_cw100_s10_lr1e6,experiments/levir_cc_decft_cw100_s10_lr1e6,levir_cc,levir_cc,False,CARD,completed,1111,10,10,,,0,config_only,best_snapshot_for_paper.json
run-bdd2bc4437a147ec,levir_cc_decft_cw100_s10_lr5e7,experiments/levir_cc_decft_cw100_s10_lr5e7,levir_cc,levir_cc,False,CARD,completed,1111,10,10,,,0,config_only,best_snapshot_for_paper.json
